"source","mode","target","id"
"spoIIID","activation","cotJB","spoIIIDcotJBactivation"
"spoIIID","activation","cotJA","spoIIIDcotJAactivation"
"spoIIID","activation","cotJC","spoIIIDcotJCactivation"
"spoIIID","activation","yesJ","spoIIIDyesJactivation"
"spoIIID","activation","yesK","spoIIIDyesKactivation"
"sigE","activation","cotJB","sigEcotJBactivation"
"sigE","activation","cotJA","sigEcotJAactivation"
"sigE","activation","cotJC","sigEcotJCactivation"
"sigE","activation","yesJ","sigEyesJactivation"
"sigE","activation","yesK","sigEyesKactivation"
"gerR","activation","cotB","gerRcotBactivation"
"gerR","activation","ywrJ","gerRywrJactivation"
"gerR","activation","cotH","gerRcotHactivation"
"gerE","repression","cotB","gerEcotBrepression"
"gerE","repression","ywrJ","gerEywrJrepression"
"gerE","repression","cotH","gerEcotHrepression"
"sigK","activation","cotB","sigKcotBactivation"
"sigK","activation","ywrJ","sigKywrJactivation"
"sigK","activation","cotH","sigKcotHactivation"
"sigE","activation","cotB","sigEcotBactivation"
"sigE","activation","ywrJ","sigEywrJactivation"
"sigE","activation","cotH","sigEcotHactivation"
"spoIIID","activation","cotB","spoIIIDcotBactivation"
"spoIIID","activation","ywrJ","spoIIIDywrJactivation"
"spoIIID","activation","cotH","spoIIIDcotHactivation"
"sigA","activation","ribH","sigAribHactivation"
"sigA","activation","ribD","sigAribDactivation"
"sigA","activation","ribE","sigAribEactivation"
"sigA","activation","ribT","sigAribTactivation"
"sigA","activation","ribA","sigAribAactivation"
"FMN-box","repression","ribH","FMN-boxribHrepression"
"FMN-box","repression","ribD","FMN-boxribDrepression"
"FMN-box","repression","ribE","FMN-boxribErepression"
"FMN-box","repression","ribT","FMN-boxribTrepression"
"FMN-box","repression","ribA","FMN-boxribArepression"
"sigA","activation","pyrE","sigApyrEactivation"
"sigA","activation","pyrF","sigApyrFactivation"
"sigA","activation","pyrR","sigApyrRactivation"
"sigA","activation","pyrP","sigApyrPactivation"
"sigA","activation","pyrB","sigApyrBactivation"
"sigA","activation","pyrK","sigApyrKactivation"
"sigA","activation","pyrC","sigApyrCactivation"
"sigA","activation","pyrAB","sigApyrABactivation"
"sigA","activation","pyrD","sigApyrDactivation"
"sigA","activation","pyrAA","sigApyrAAactivation"
"ccpA","repression","hutM","ccpAhutMrepression"
"ccpA","repression","hutP","ccpAhutPrepression"
"ccpA","repression","hutI","ccpAhutIrepression"
"ccpA","repression","hutH","ccpAhutHrepression"
"ccpA","repression","hutU","ccpAhutUrepression"
"ccpA","repression","hutG","ccpAhutGrepression"
"codY","repression","hutM","codYhutMrepression"
"codY","repression","hutP","codYhutPrepression"
"codY","repression","hutI","codYhutIrepression"
"codY","repression","hutH","codYhutHrepression"
"codY","repression","hutU","codYhutUrepression"
"codY","repression","hutG","codYhutGrepression"
"sigA","activation","hutM","sigAhutMactivation"
"sigA","activation","hutP","sigAhutPactivation"
"sigA","activation","hutI","sigAhutIactivation"
"sigA","activation","hutH","sigAhutHactivation"
"sigA","activation","hutU","sigAhutUactivation"
"sigA","activation","hutG","sigAhutGactivation"
"hutP","activation","hutM","hutPhutMactivation"
"hutP","activation","hutP","hutPhutPactivation"
"hutP","activation","hutI","hutPhutIactivation"
"hutP","activation","hutH","hutPhutHactivation"
"hutP","activation","hutU","hutPhutUactivation"
"hutP","activation","hutG","hutPhutGactivation"
"sigL","activation","ptb","sigLptbactivation"
"sigL","activation","lpdV","sigLlpdVactivation"
"sigL","activation","bkdB","sigLbkdBactivation"
"sigL","activation","buk","sigLbukactivation"
"sigL","activation","bkdAA","sigLbkdAAactivation"
"sigL","activation","bkdAB","sigLbkdABactivation"
"sigL","activation","bcd","sigLbcdactivation"
"bkdR","activation","ptb","bkdRptbactivation"
"bkdR","activation","lpdV","bkdRlpdVactivation"
"bkdR","activation","bkdB","bkdRbkdBactivation"
"bkdR","activation","buk","bkdRbukactivation"
"bkdR","activation","bkdAA","bkdRbkdAAactivation"
"bkdR","activation","bkdAB","bkdRbkdABactivation"
"bkdR","activation","bcd","bkdRbcdactivation"
"codY","repression","ptb","codYptbrepression"
"codY","repression","lpdV","codYlpdVrepression"
"codY","repression","bkdB","codYbkdBrepression"
"codY","repression","buk","codYbukrepression"
"codY","repression","bkdAA","codYbkdAArepression"
"codY","repression","bkdAB","codYbkdABrepression"
"codY","repression","bcd","codYbcdrepression"
"sigM","activation","yabP","sigMyabPactivation"
"sigM","activation","yabQ","sigMyabQactivation"
"sigM","activation","yabN","sigMyabNactivation"
"sigM","activation","yabR","sigMyabRactivation"
"sigM","activation","rqcP","sigMrqcPactivation"
"sigM","activation","yabM","sigMyabMactivation"
"sigM","activation","divIC","sigMdivICactivation"
"sigE","activation","yabP","sigEyabPactivation"
"sigE","activation","yabQ","sigEyabQactivation"
"sigE","activation","yabN","sigEyabNactivation"
"sigE","activation","yabR","sigEyabRactivation"
"sigE","activation","rqcP","sigErqcPactivation"
"sigE","activation","yabM","sigEyabMactivation"
"sigE","activation","divIC","sigEdivICactivation"
"sigW","activation","yabP","sigWyabPactivation"
"sigW","activation","yabQ","sigWyabQactivation"
"sigW","activation","yabN","sigWyabNactivation"
"sigW","activation","yabR","sigWyabRactivation"
"sigW","activation","rqcP","sigWrqcPactivation"
"sigW","activation","yabM","sigWyabMactivation"
"sigW","activation","divIC","sigWdivICactivation"
"sigD","activation","yabP","sigDyabPactivation"
"sigD","activation","yabQ","sigDyabQactivation"
"sigD","activation","yabN","sigDyabNactivation"
"sigD","activation","yabR","sigDyabRactivation"
"sigD","activation","rqcP","sigDrqcPactivation"
"sigD","activation","yabM","sigDyabMactivation"
"sigD","activation","divIC","sigDdivICactivation"
"sigX","activation","yabP","sigXyabPactivation"
"sigX","activation","yabQ","sigXyabQactivation"
"sigX","activation","yabN","sigXyabNactivation"
"sigX","activation","yabR","sigXyabRactivation"
"sigX","activation","rqcP","sigXrqcPactivation"
"sigX","activation","yabM","sigXyabMactivation"
"sigX","activation","divIC","sigXdivICactivation"
"comK","activation","yvyF","comKyvyFactivation"
"comK","activation","comFC","comKcomFCactivation"
"comK","activation","comFA","comKcomFAactivation"
"comK","activation","fliW","comKfliWactivation"
"comK","activation","yvyG","comKyvyGactivation"
"comK","activation","flgK","comKflgKactivation"
"comK","activation","flgL","comKflgLactivation"
"comK","activation","csrA","comKcsrAactivation"
"comK","activation","comFB","comKcomFBactivation"
"comK","activation","yviE","comKyviEactivation"
"comK","activation","flgM","comKflgMactivation"
"sigA","activation","yvyF","sigAyvyFactivation"
"sigA","activation","comFC","sigAcomFCactivation"
"sigA","activation","comFA","sigAcomFAactivation"
"sigA","activation","fliW","sigAfliWactivation"
"sigA","activation","yvyG","sigAyvyGactivation"
"sigA","activation","flgK","sigAflgKactivation"
"sigA","activation","flgL","sigAflgLactivation"
"sigA","activation","csrA","sigAcsrAactivation"
"sigA","activation","comFB","sigAcomFBactivation"
"sigA","activation","yviE","sigAyviEactivation"
"sigA","activation","flgM","sigAflgMactivation"
"sigD","activation","yvyF","sigDyvyFactivation"
"sigD","activation","comFC","sigDcomFCactivation"
"sigD","activation","comFA","sigDcomFAactivation"
"sigD","activation","fliW","sigDfliWactivation"
"sigD","activation","yvyG","sigDyvyGactivation"
"sigD","activation","flgK","sigDflgKactivation"
"sigD","activation","flgL","sigDflgLactivation"
"sigD","activation","csrA","sigDcsrAactivation"
"sigD","activation","comFB","sigDcomFBactivation"
"sigD","activation","yviE","sigDyviEactivation"
"sigD","activation","flgM","sigDflgMactivation"
"degU","activation","yvyF","degUyvyFactivation"
"degU","activation","comFC","degUcomFCactivation"
"degU","activation","comFA","degUcomFAactivation"
"degU","activation","fliW","degUfliWactivation"
"degU","activation","yvyG","degUyvyGactivation"
"degU","activation","flgK","degUflgKactivation"
"degU","activation","flgL","degUflgLactivation"
"degU","activation","csrA","degUcsrAactivation"
"degU","activation","comFB","degUcomFBactivation"
"degU","activation","yviE","degUyviEactivation"
"degU","activation","flgM","degUflgMactivation"
"scoC","repression","yvyF","scoCyvyFrepression"
"scoC","repression","comFC","scoCcomFCrepression"
"scoC","repression","comFA","scoCcomFArepression"
"scoC","repression","fliW","scoCfliWrepression"
"scoC","repression","yvyG","scoCyvyGrepression"
"scoC","repression","flgK","scoCflgKrepression"
"scoC","repression","flgL","scoCflgLrepression"
"scoC","repression","csrA","scoCcsrArepression"
"scoC","repression","comFB","scoCcomFBrepression"
"scoC","repression","yviE","scoCyviErepression"
"scoC","repression","flgM","scoCflgMrepression"
"degU","activation","capE","degUcapEactivation"
"degU","activation","capB","degUcapBactivation"
"degU","activation","capA","degUcapAactivation"
"degU","activation","capC","degUcapCactivation"
"sigA","activation","capE","sigAcapEactivation"
"sigA","activation","capB","sigAcapBactivation"
"sigA","activation","capA","sigAcapAactivation"
"sigA","activation","capC","sigAcapCactivation"
"spoIIID","repression","spoIIIAH","spoIIIDspoIIIAHrepression"
"spoIIID","repression","spoIIIAG","spoIIIDspoIIIAGrepression"
"spoIIID","repression","spoIIIAD","spoIIIDspoIIIADrepression"
"spoIIID","repression","spoIIIAC","spoIIIDspoIIIACrepression"
"spoIIID","repression","spoIIIAA","spoIIIDspoIIIAArepression"
"spoIIID","repression","yqhV","spoIIIDyqhVrepression"
"spoIIID","repression","spoIIIAF","spoIIIDspoIIIAFrepression"
"spoIIID","repression","spoIIIAE","spoIIIDspoIIIAErepression"
"spoIIID","repression","spoIIIAB","spoIIIDspoIIIABrepression"
"sigE","activation","spoIIIAH","sigEspoIIIAHactivation"
"sigE","activation","spoIIIAG","sigEspoIIIAGactivation"
"sigE","activation","spoIIIAD","sigEspoIIIADactivation"
"sigE","activation","spoIIIAC","sigEspoIIIACactivation"
"sigE","activation","spoIIIAA","sigEspoIIIAAactivation"
"sigE","activation","yqhV","sigEyqhVactivation"
"sigE","activation","spoIIIAF","sigEspoIIIAFactivation"
"sigE","activation","spoIIIAE","sigEspoIIIAEactivation"
"sigE","activation","spoIIIAB","sigEspoIIIABactivation"
"sigM","activation","radA","sigMradAactivation"
"sigM","activation","disA","sigMdisAactivation"
"sigM","activation","mcsB","sigMmcsBactivation"
"sigM","activation","clpC","sigMclpCactivation"
"sigM","activation","ctsR","sigMctsRactivation"
"sigM","activation","mcsA","sigMmcsAactivation"
"sigA","activation","radA","sigAradAactivation"
"sigA","activation","disA","sigAdisAactivation"
"sigA","activation","mcsB","sigAmcsBactivation"
"sigA","activation","clpC","sigAclpCactivation"
"sigA","activation","ctsR","sigActsRactivation"
"sigA","activation","mcsA","sigAmcsAactivation"
"sigB","activation","radA","sigBradAactivation"
"sigB","activation","disA","sigBdisAactivation"
"sigB","activation","mcsB","sigBmcsBactivation"
"sigB","activation","clpC","sigBclpCactivation"
"sigB","activation","ctsR","sigBctsRactivation"
"sigB","activation","mcsA","sigBmcsAactivation"
"ctsR","repression","radA","ctsRradArepression"
"ctsR","repression","disA","ctsRdisArepression"
"ctsR","repression","mcsB","ctsRmcsBrepression"
"ctsR","repression","clpC","ctsRclpCrepression"
"ctsR","repression","ctsR","ctsRctsRrepression"
"ctsR","repression","mcsA","ctsRmcsArepression"
"sigF","activation","radA","sigFradAactivation"
"sigF","activation","disA","sigFdisAactivation"
"sigF","activation","mcsB","sigFmcsBactivation"
"sigF","activation","clpC","sigFclpCactivation"
"sigF","activation","ctsR","sigFctsRactivation"
"sigF","activation","mcsA","sigFmcsAactivation"
"sigM","activation","ylxX","sigMylxXactivation"
"sigM","activation","sbp","sigMsbpactivation"
"sigM","activation","ylxW","sigMylxWactivation"
"sigM","activation","murB","sigMmurBactivation"
"sigM","activation","divIB","sigMdivIBactivation"
"sigM","activation","murG","sigMmurGactivation"
"sigA","activation","ylxX","sigAylxXactivation"
"sigA","activation","sbp","sigAsbpactivation"
"sigA","activation","ylxW","sigAylxWactivation"
"sigA","activation","murB","sigAmurBactivation"
"sigA","activation","divIB","sigAdivIBactivation"
"sigA","activation","murG","sigAmurGactivation"
"sigE","activation","ylxX","sigEylxXactivation"
"sigE","activation","sbp","sigEsbpactivation"
"sigE","activation","ylxW","sigEylxWactivation"
"sigE","activation","murB","sigEmurBactivation"
"sigE","activation","divIB","sigEdivIBactivation"
"sigE","activation","murG","sigEmurGactivation"
"spoIIID","repression","ylxX","spoIIIDylxXrepression"
"spoIIID","repression","sbp","spoIIIDsbprepression"
"spoIIID","repression","ylxW","spoIIIDylxWrepression"
"spoIIID","repression","murB","spoIIIDmurBrepression"
"spoIIID","repression","divIB","spoIIIDdivIBrepression"
"spoIIID","repression","murG","spoIIIDmurGrepression"
"sigA","activation","swrAA/2","sigAswrAA/2activation"
"sigA","activation","minJ","sigAminJactivation"
"sigD","activation","swrAA/2","sigDswrAA/2activation"
"sigD","activation","minJ","sigDminJactivation"
"degU","activation","swrAA/2","degUswrAA/2activation"
"degU","activation","minJ","degUminJactivation"
"preQ1 riboswitch","activation","queC","preQ1 riboswitchqueCactivation"
