source,target,mode
0,1,repression
0,2,activation
0,0,repression
0,43,repression
0,105,activation
0,580,activation
0,730,activation
0,360,repression
0,15,activation
0,3,activation
0,6,activation
0,32,activation
0,72,activation
0,75,repression
0,79,repression
0,130,activation
0,138,repression
0,211,activation
0,213,activation
0,227,activation
0,260,activation
0,274,activation
0,275,repression
0,300,repression
0,343,activation
0,345,activation
0,369,repression
0,536,activation
0,549,activation
0,551,activation
0,598,activation
0,611,activation
0,621,activation
0,628,activation
0,645,repression
0,667,activation
0,687,activation
0,715,activation
0,729,activation
0,865,activation
0,920,repression
0,1043,repression
0,1183,repression
0,1262,activation
0,1312,repression
0,1385,repression
0,1475,repression
0,1616,repression
0,1804,activation
0,1805,activation
0,1911,repression
0,1947,activation
0,1951,activation
1,2,activation
1,174,activation
1,105,repression
1,15,activation
1,1065,activation
1,108,activation
1,3,activation
1,4,activation
1,5,repression
1,6,activation
1,8,activation
1,14,repression
1,17,activation
1,18,activation
1,22,repression
1,26,activation
1,28,repression
1,30,activation
1,31,activation
1,32,repression
1,33,activation
1,34,repression
1,37,repression
1,38,repression
1,40,activation
1,41,activation
1,42,activation
1,44,repression
1,45,activation
1,50,repression
1,52,activation
1,53,activation
1,54,activation
1,58,repression
1,59,activation
1,61,activation
1,64,repression
1,72,activation
1,73,activation
1,74,activation
1,79,activation
1,82,activation
1,84,activation
1,86,activation
1,89,repression
1,91,repression
1,93,activation
1,101,activation
1,103,activation
1,104,activation
1,109,activation
1,110,repression
1,111,repression
1,113,activation
1,115,repression
1,118,repression
1,124,activation
1,126,activation
1,132,activation
1,135,activation
1,143,activation
1,149,repression
1,151,repression
1,163,activation
1,167,activation
1,169,activation
1,173,repression
1,175,activation
1,182,repression
1,189,activation
1,191,activation
1,192,activation
1,193,activation
1,196,repression
1,200,activation
1,202,repression
1,207,repression
1,212,repression
1,214,activation
1,225,repression
1,231,activation
1,233,activation
1,236,activation
1,245,activation
1,247,activation
1,248,activation
1,255,repression
1,256,activation
1,258,repression
1,270,repression
1,273,activation
1,294,repression
1,298,repression
1,300,repression
1,306,repression
1,309,activation
1,320,activation
1,322,repression
1,325,activation
1,336,repression
1,342,activation
1,346,activation
1,352,activation
1,354,activation
1,359,activation
1,362,activation
1,366,activation
1,380,activation
1,392,repression
1,395,activation
1,401,activation
1,403,activation
1,407,repression
1,410,activation
1,421,activation
1,423,repression
1,430,activation
1,431,activation
1,442,activation
1,449,repression
1,455,activation
1,472,activation
1,480,activation
1,486,activation
1,490,repression
1,491,activation
1,504,activation
1,520,activation
1,524,repression
1,525,activation
1,526,activation
1,535,activation
1,544,activation
1,551,repression
1,553,repression
1,557,activation
1,565,activation
1,574,activation
1,579,repression
1,582,activation
1,584,activation
1,585,activation
1,590,activation
1,607,activation
1,611,activation
1,617,repression
